sid,case,feature,align,win_start,win_end,win_center_ms,win_center_stim_aligned_ms,peak_time_ms,peak_time_stim_aligned_ms,win_len_ms,reaction_time_ms
20201001,case_iii,C,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,238.28749999996032,10.000000009313226,243.28750000927357,50.0,233.28749999996035
20201001,case_iii,S,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,238.28749999996032,10.000000009313226,243.28750000927357,50.0,233.28749999996035
20201001,case_iv,C,stim,160.0,260.0,210.0,210.0,250.0,250.0,100.0,233.28749999996035
20201001,case_iv,S,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,238.28749999996032,10.000000009313226,243.28750000927357,50.0,233.28749999996035
20201001,case_v,C,stim,219.99999999999997,269.99999999999994,244.99999999999994,244.99999999999994,259.99999046325684,259.99999046325684,49.99999999999997,233.28749999996035
20201001,case_v,S,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,238.28749999996032,10.000000009313226,243.28750000927357,50.0,233.28749999996035
20201001,case_vi,C,stim,219.99999999999997,269.99999999999994,244.99999999999994,244.99999999999994,259.99999046325684,259.99999046325684,49.99999999999997,233.28749999996035
20201001,case_vi,S,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,238.28749999996032,10.000000009313226,243.28750000927357,50.0,233.28749999996035
20201004,case_i,C,sacc,-40.00000000000002,9.99999999999998,-15.000000000000021,207.47499999991757,-20.000000251457095,202.4749997484605,50.0,222.4749999999176
20201004,case_i,S,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,227.47499999991757,-10.000000009313226,212.47499999060437,50.0,222.4749999999176
20201004,case_ii,C,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,227.47499999991757,0.0,222.4749999999176,50.0,222.4749999999176
20201004,case_ii,S,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,227.47499999991757,0.0,222.4749999999176,50.0,222.4749999999176
